"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1074","EGL","io.vov.vitamio.EGL","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","33","1","287","2","0","0","0","0","0","0","0","0","1","2","2","31","4","0","0","6","16","0.111111","0.0265487","3","3","1","8","0.0184332","4","0","0","0","0","0","110","136","8","0","8","0","10","0","8","0","10","64","0","8","0","213","255","17","0","17","0","22","0","17","0","31","115","0","21","0","0","0","68","0","0","0","0","0","0","0","2","0","0","0","0","62","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1227","LibsChecker","io.vov.vitamio.LibsChecker","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\LibsChecker.java","36","1","53","2","0","0","0","0","0","0","0","0","1","1","1","3","1","9","9","2","3","0.5","0.451613","14","14","1","1","0.451613","14","0","0","0","0","0","17","18","1","0","1","0","1","1","1","0","1","11","1","1","0","17","18","1","0","1","0","1","1","1","0","1","11","1","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1245","MediaFile","io.vov.vitamio.MediaFile","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaFile.java","24","1","175","2","0","0","0","0","0","0","0","0","3","1","1","9","1","2","4","1","6","0","0","0","0","0","5","0","0","0","0","0","0","0","109","143","40","2","40","2","5","33","4","0","5","10","33","4","0","117","152","42","2","42","2","6","33","4","0","6","12","33","4","0","0","0","27","0","0","0","0","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1387","MediaFormat","io.vov.vitamio.MediaFormat","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaFormat.java","77","1","429","2","0.166205","1","2","2","0.0623229","0.175439","22","20","1","1","1","21","0","3","3","0","19","0.944444","0.68595","249","247","17","1","0.68595","249","0","0","0","0","0","114","353","28","7","28","7","19","27","17","5","19","32","27","17","5","114","353","28","7","28","7","19","27","17","5","19","32","27","17","5","0","0","29","0","0","0","0","0","16","0","0","0","0","0","0","3","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L170","MediaMetadataRetriever","io.vov.vitamio.MediaMetadataRetriever","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaMetadataRetriever.java","44","1","303","2","0.25","1","5","1","0.0692308","0.166667","18","17","6","2","2","23","1","2","2","1","16","0.333333","0.592","148","148","3","6","0.592","148","0","0","0","0","0","102","260","33","2","33","2","15","31","8","3","15","27","31","8","3","102","260","33","2","33","2","15","31","8","3","15","27","31","8","3","0","0","47","0","0","0","0","0","11","0","1","0","0","0","0","27","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L315","MediaPlayer","io.vov.vitamio.MediaPlayer","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaPlayer.java","63","1","1588","2","0.0277499","1","5","1","0.0117955","0.0222805","18","17","15","5","4","193","17","27","47","13","123","0.929577","0.443253","496","493","66","5","0.447008","620","0","0","0","0","0","623","1253","73","20","73","20","110","26","70","35","110","294","26","70","35","767","1526","82","22","82","22","130","31","89","35","130","360","31","89","35","0","0","163","0","0","0","0","0","9","0","1","6","0","4","0","112","0","0","0","0","0","0","0","31","0","0","0","0","0"
"L2460","MediaScanner","io.vov.vitamio.MediaScanner","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaScanner.java","40","1","451","2","0","0","0","0","0","0","0","0","5","6","6","35","10","1","1","6","20","0","0","0","0","0","5","0","0","0","0","0","0","0","144","172","9","0","9","0","14","0","4","0","14","81","0","4","0","356","412","27","0","27","0","25","0","11","1","25","221","0","11","1","0","0","77","0","0","0","0","0","0","0","2","10","0","0","0","59","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1757","Metadata","io.vov.vitamio.Metadata","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\Metadata.java","29","1","221","2","0","0","0","0","0","0","0","0","1","25","2","47","0","1","1","0","9","0.111111","0.165899","36","4","1","8","0.165899","36","0","0","0","0","0","181","193","37","6","37","6","9","33","8","0","9","106","33","8","0","181","193","37","6","37","6","9","33","8","0","9","106","33","8","0","0","0","34","0","0","0","0","0","0","0","0","3","0","0","0","21","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L3189","ThumbnailUtils","io.vov.vitamio.ThumbnailUtils","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\ThumbnailUtils.java","35","1","144","2","0","0","0","0","0","0","0","0","1","3","2","25","3","0","0","5","9","0.25","0.08","8","8","1","3","0.08","8","0","0","0","0","0","92","110","7","0","7","0","4","5","3","0","4","64","5","3","0","92","110","7","0","7","0","4","5","3","0","4","64","5","3","0","0","0","17","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L3859","VIntent","io.vov.vitamio.VIntent","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\VIntent.java","22","1","27","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.333333","3","3","1","0","0.333333","3","0","0","0","0","0","6","6","4","0","4","0","0","4","0","0","0","0","4","0","0","6","6","4","0","4","0","0","4","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3866","Vitamio","io.vov.vitamio.Vitamio","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\Vitamio.java","43","1","262","2","0","0","0","0","0","0","0","0","1","4","4","40","3","5","5","7","17","0.571429","0.129187","27","27","4","3","0.129187","27","0","0","0","0","0","182","220","17","4","17","4","10","0","6","0","10","98","0","6","0","182","220","17","4","17","4","10","0","6","0","10","98","0","6","0","0","0","24","0","0","0","0","0","0","0","0","2","0","0","0","19","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L3974","VitamioLicense","io.vov.vitamio.VitamioLicense","L106","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\VitamioLicense.java","22","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","3","3","1","0","0.5","3","0","0","0","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L146","MediaMetadataRetrieverDemo","io.vov.vitamio.demo.MediaMetadataRetrieverDemo","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\MediaMetadataRetrieverDemo.java","27","1","58","2","0","0","0","0","0","0","0","0","1","2","2","5","1","1","0","3","4","0","0.0344828","1","0","0","1","0.0344828","1","0","0","0","0","0","28","32","1","0","1","0","1","0","0","0","1","17","0","0","0","28","32","1","0","1","0","1","0","0","0","1","17","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217","MediaPlayerDemo","io.vov.vitamio.demo.MediaPlayerDemo","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\MediaPlayerDemo.java","26","1","101","2","0","0","0","0","0","0","0","0","1","0","0","1","0","6","0","0","1","0","0.05","2","0","0","1","0.0307692","2","0","0","0","0","0","38","46","18","0","18","0","1","0","0","0","1","10","0","0","0","63","76","18","0","18","0","6","0","5","0","6","25","0","5","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L276","MediaPlayerDemo_Audio","io.vov.vitamio.demo.MediaPlayerDemo_Audio","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\MediaPlayerDemo_Audio.java","32","1","123","2","0.109929","1","2","1","0.108696","0.0857143","10","6","1","3","3","13","2","2","0","7","11","0","0.146341","12","0","0","3","0.146341","12","0","0","0","0","0","70","92","10","0","10","0","4","0","2","0","4","37","0","2","0","70","92","10","0","10","0","4","0","2","0","4","37","0","2","0","0","0","18","0","0","0","0","0","7","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L308","MediaPlayerDemo_setSurface","io.vov.vitamio.demo.MediaPlayerDemo_setSurface","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\MediaPlayerDemo_setSurface.java","36","1","201","2","0","0","0","0","0","0","0","0","5","2","2","22","5","1","0","12","27","0.111111","0.0928571","13","7","1","8","0.0928571","13","1","3","0","0","3","127","166","9","0","9","0","15","0","8","0","15","64","0","8","0","127","166","9","0","9","0","15","0","8","0","15","64","0","8","0","0","0","33","0","0","0","0","0","0","0","1","0","0","0","0","29","0","1","0","0","0","0","0","2","0","0","0","0","0"
"L295","MediaPlayerDemo_Video","io.vov.vitamio.demo.MediaPlayerDemo_Video","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\MediaPlayerDemo_Video.java","35","1","204","2","0.063786","1","2","1","0.0588235","0.047619","10","6","2","3","3","27","6","2","0","11","25","0.111111","0.136986","20","4","1","8","0.136986","20","1","4","0","0","4","126","170","16","0","16","0","14","0","8","0","14","66","0","8","0","126","170","16","0","16","0","14","0","8","0","14","66","0","8","0","0","0","37","0","0","0","0","0","7","0","1","0","0","0","0","25","0","1","0","0","0","0","0","3","0","0","0","0","0"
"L627","MediaPlayerSubtitle","io.vov.vitamio.demo.MediaPlayerSubtitle","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\MediaPlayerSubtitle.java","36","1","156","2","0","0","0","0","0","0","0","0","4","2","2","19","4","1","0","11","23","0","0.153061","15","0","0","7","0.153061","15","1","2","0","0","2","83","121","5","0","5","0","12","0","6","0","12","36","0","6","0","83","121","5","0","5","0","12","0","6","0","12","36","0","6","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","21","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L682","VideoSubtitleList","io.vov.vitamio.demo.VideoSubtitleList","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\VideoSubtitleList.java","32","1","64","2","0","0","0","0","0","0","0","0","2","1","1","5","3","1","0","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","28","33","0","1","0","1","4","0","0","0","4","15","0","0","0","28","33","0","1","0","1","4","0","0","0","4","15","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L761","VideoViewBuffer","io.vov.vitamio.demo.VideoViewBuffer","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\VideoViewBuffer.java","34","1","118","2","0","0","0","0","0","0","0","0","1","2","2","9","7","1","0","10","13","0","0.125","9","4","0","4","0.12987","10","1","2","0","0","2","63","80","6","0","6","0","3","0","3","0","3","36","0","3","0","67","85","6","0","6","0","4","0","4","0","4","37","0","4","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","14","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L843","VideoViewDemo","io.vov.vitamio.demo.VideoViewDemo","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\VideoViewDemo.java","32","1","86","2","0","0","0","0","0","0","0","0","1","1","1","6","5","1","0","5","8","0","0.209302","9","4","0","4","0.208333","10","0","0","0","0","0","34","50","3","0","3","0","3","0","3","0","3","18","0","3","0","38","55","3","0","3","0","4","0","4","0","4","19","0","4","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L728","VideoViewSubtitle","io.vov.vitamio.demo.VideoViewSubtitle","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\VideoViewSubtitle.java","30","1","131","2","0","0","0","0","0","0","0","0","1","1","1","12","5","3","0","9","13","0","0.0810811","6","0","0","3","0.0795455","7","0","0","0","0","0","68","84","6","0","6","0","4","0","2","0","4","38","0","2","0","81","102","6","0","6","0","7","0","5","0","7","42","0","5","0","0","0","25","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L933","VitamioListActivity","io.vov.vitamio.demo.VitamioListActivity","L128","L103","D:\PR_assignment_src\VitamioBundle\vitamio-sample\src\io\vov\vitamio\demo\VitamioListActivity.java","35","1","70","2","0","0","0","0","0","0","0","0","2","1","1","5","6","0","0","1","5","1","0.0882353","3","3","1","0","0.0882353","3","0","0","0","0","0","31","36","0","1","0","1","4","0","0","0","4","18","0","0","0","31","36","0","1","0","1","4","0","0","0","4","18","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L963","InitActivity","io.vov.vitamio.activity.InitActivity","L960","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\activity\InitActivity.java","33","1","91","2","0","0","0","0","0","0","0","0","1","0","0","1","1","2","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","12","15","3","0","3","0","1","1","0","0","1","4","1","0","0","51","59","4","0","4","0","6","1","2","0","6","22","1","2","0","0","0","26","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1092","EGL$EGLWindowSurfaceFactory","io.vov.vitamio.EGL$EGLWindowSurfaceFactory","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","163","3","172","4","0","0","0","0","0","0","0","0","2","0","0","2","0","1","2","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","8","10","0","0","0","0","2","0","2","0","2","2","0","2","0","8","10","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1088","EGL$EGLContextFactory","io.vov.vitamio.EGL$EGLContextFactory","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","174","3","189","4","0","0","0","0","0","0","0","0","2","1","1","3","0","1","2","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","13","16","1","0","1","0","2","0","2","0","2","5","0","2","0","13","16","1","0","1","0","2","0","2","0","2","5","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1084","EGL$EGLConfigChooser","io.vov.vitamio.EGL$EGLConfigChooser","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","191","3","232","4","0","0","0","0","0","0","0","0","1","1","1","8","0","2","2","0","4","0","0.0277778","1","0","0","3","0.0277778","1","0","0","1","2","0","35","42","1","0","1","0","4","0","2","0","4","21","0","2","0","35","42","1","0","1","0","4","0","2","0","4","21","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1190","EGL$ComponentSizeChooser","io.vov.vitamio.EGL$ComponentSizeChooser","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","234","3","279","4","0","0","0","0","0","0","0","0","1","3","3","11","1","1","1","1","4","0","0","0","0","0","3","0","0","1","1","1","1","1","42","46","8","0","7","0","3","0","2","0","6","22","0","3","0","42","46","8","0","7","0","3","0","2","0","6","22","0","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1097","EGL$SimpleEGLConfigChooser","io.vov.vitamio.EGL$SimpleEGLConfigChooser","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","281","3","285","4","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","0","0","0","0","0","2","0","0","2","2","0","0","1","5","5","8","0","0","0","1","0","1","0","7","1","0","4","0","5","5","8","0","0","0","1","0","1","0","7","1","0","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1289","MediaFile$MediaFileType","io.vov.vitamio.MediaFile$MediaFileType","L1245","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaFile.java","66","2","74","3","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","8","9","2","0","2","0","1","0","0","0","1","2","0","0","0","8","9","2","0","2","0","1","0","0","0","1","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1761","MediaPlayer$TrackInfo","io.vov.vitamio.MediaPlayer$TrackInfo","L315","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaPlayer.java","1462","3","1494","4","0","0","0","0","0","0","0","0","0","0","0","3","1","2","4","0","3","1","0.457143","16","16","3","0","0.457143","16","0","0","0","0","0","19","33","7","2","7","2","3","5","2","0","3","4","5","2","0","19","33","7","2","7","2","3","5","2","0","3","4","5","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1744","MediaPlayer$EventHandler","io.vov.vitamio.MediaPlayer$EventHandler","L315","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaPlayer.java","1496","3","1587","4","0","0","0","0","0","0","0","0","1","7","3","35","12","1","1","19","21","0","0","0","0","0","3","0","0","0","0","0","0","0","90","92","2","0","2","0","2","0","2","0","2","62","0","2","0","90","92","2","0","2","0","2","0","2","0","2","62","0","2","0","0","0","13","0","0","0","0","0","0","0","0","3","0","2","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2479","MediaScanner$FileCacheEntry","io.vov.vitamio.MediaScanner$FileCacheEntry","L2460","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaScanner.java","210","3","231","4","0","0","0","0","0","0","0","0","1","0","0","2","0","2","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","20","22","6","0","6","0","2","0","1","0","2","7","0","1","0","20","22","6","0","6","0","2","0","1","0","2","7","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2485","MediaScanner$MyMediaScannerClient","io.vov.vitamio.MediaScanner$MyMediaScannerClient","L2460","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\MediaScanner.java","233","3","450","4","0","0","0","0","0","0","0","0","2","8","4","57","10","1","1","8","17","0","0","0","0","0","7","0","0","1","1","0","0","1","192","218","12","0","12","0","9","0","6","1","9","133","0","6","1","192","218","12","0","12","0","9","0","6","1","9","133","0","6","1","0","0","30","0","0","0","0","0","0","0","1","6","0","0","0","21","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L2859","MediaStore","io.vov.vitamio.provider.MediaStore","L2855","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\provider\MediaStore.java","36","1","316","2","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","2","0","0.324324","12","0","0","3","0.151316","46","0","0","0","0","0","25","32","5","2","5","2","2","4","2","0","2","2","4","2","0","258","281","66","8","66","8","11","51","7","0","11","81","51","7","0","0","0","107","0","0","0","0","0","0","0","0","5","0","0","0","48","0","0","0","0","0","0","0","54","0","0","0","0","0"
"L3053","MiniThumbFile","io.vov.vitamio.provider.MiniThumbFile","L2855","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\provider\MiniThumbFile.java","34","1","216","2","0","0","0","0","0","0","0","0","1","4","4","44","3","1","1","2","12","0","0","0","0","0","2","0","0","0","0","0","0","0","165","183","8","2","8","2","10","0","1","0","10","99","0","1","0","165","183","8","2","8","2","10","0","1","0","10","99","0","1","0","0","0","26","0","0","0","0","0","0","0","0","2","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3272","Base64","io.vov.vitamio.utils.Base64","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\Base64.java","25","1","739","2","0","0","0","0","0","0","0","0","2","2","2","20","3","3","2","4","12","1","0.671569","137","126","8","0","0.412308","268","0","0","0","0","0","67","228","6","0","6","0","8","6","7","0","8","34","6","7","0","382","715","25","0","25","0","16","12","15","0","16","221","12","15","0","0","0","44","0","0","0","0","0","0","0","3","4","0","0","0","10","0","0","0","0","0","0","0","27","0","0","0","0","0"
"L3441","ContextUtils","io.vov.vitamio.utils.ContextUtils","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\ContextUtils.java","21","1","46","2","0","0","0","0","0","0","0","0","1","1","1","8","1","2","3","1","4","0","0","0","0","0","4","0","0","0","0","0","0","0","24","26","0","2","0","2","3","0","3","0","3","13","0","3","0","24","26","0","2","0","2","3","0","3","0","3","13","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3463","CPU","io.vov.vitamio.utils.CPU","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\CPU.java","28","1","169","2","0","0","0","0","0","0","0","0","1","6","5","47","2","1","1","3","7","0","0","0","0","0","4","0","0","0","0","0","0","0","129","142","11","3","11","3","4","8","3","0","4","88","8","3","0","129","142","11","3","11","3","4","8","3","0","4","88","8","3","0","0","0","23","0","0","0","0","0","0","0","0","5","0","0","0","11","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L3529","Crypto","io.vov.vitamio.utils.Crypto","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\Crypto.java","33","1","131","2","0","0","0","0","0","0","0","0","3","2","2","18","2","2","2","2","10","0","0","0","0","0","6","0","0","0","0","0","0","0","89","99","1","0","1","0","8","0","5","0","8","52","0","5","0","89","99","1","0","1","0","8","0","5","0","8","52","0","5","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3624","Device","io.vov.vitamio.utils.Device","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\Device.java","28","1","93","2","0","0","0","0","0","0","0","0","0","2","2","12","3","0","0","3","9","0","0","0","0","0","6","0","0","0","0","0","0","0","61","66","0","6","0","6","6","0","5","0","6","43","0","5","0","61","66","0","6","0","6","6","0","5","0","6","43","0","5","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3705","FileUtils","io.vov.vitamio.utils.FileUtils","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\FileUtils.java","24","1","94","2","0","0","0","0","0","0","0","0","1","3","3","20","2","4","4","2","7","0.166667","0.0923077","6","6","1","5","0.0923077","6","0","0","0","0","0","59","71","1","4","1","4","5","0","5","0","5","36","0","5","0","59","71","1","4","1","4","5","0","5","0","5","36","0","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3741","IOUtils","io.vov.vitamio.utils.IOUtils","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\IOUtils.java","24","1","55","2","0","0","0","0","0","0","0","0","1","2","2","9","0","1","3","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","28","32","1","0","1","0","3","0","3","0","3","14","0","3","0","28","32","1","0","1","0","3","0","3","0","3","14","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3758","Log","io.vov.vitamio.utils.Log","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\Log.java","22","1","57","2","0","0","0","0","0","0","0","0","1","2","2","9","0","15","46","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","32","36","1","0","1","0","4","1","4","0","4","15","1","4","0","32","36","1","0","1","0","4","1","4","0","4","15","1","4","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3773","ScreenResolution","io.vov.vitamio.utils.ScreenResolution","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\ScreenResolution.java","34","1","80","2","0","0","0","0","0","0","0","0","0","1","1","5","0","1","1","0","3","1","0.34","17","17","2","0","0.34","17","0","0","0","0","0","33","47","0","3","0","3","3","0","1","0","3","18","0","1","0","33","47","0","3","0","3","3","0","1","0","3","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3821","StringUtils","io.vov.vitamio.utils.StringUtils","L3260","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\utils\StringUtils.java","21","1","78","2","0","0","0","0","0","0","0","0","4","3","3","18","1","2","3","1","6","0","0","0","0","0","6","0","0","0","0","0","0","0","50","58","0","0","0","0","5","0","5","0","5","36","0","5","0","50","58","0","0","0","0","5","0","5","0","5","36","0","5","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
